[C-CORE] Booting Headless Unity Build...
[C-CORE] Routing to scripts/bot.lua...
[BOT:50006] Booting Headless Chaos Node...
[LAB] Initializing Headless Node on Port 50006...
[HEARTBEAT] Node: 0 | Tick:  7381 | Conf:  7379 | Hash: 0x8BB50C8D | Rollbacks: 12 (Resim:  12) | Stalls:  0
[HEARTBEAT] Node: 0 | Tick:  7441 | Conf:  7439 | Hash: 0xA433E574 | Rollbacks: 22 (Resim:  22) | Stalls:  0
[HEARTBEAT] Node: 0 | Tick:  7501 | Conf:  7499 | Hash: 0x16BE5DB6 | Rollbacks:  9 (Resim:   9) | Stalls:  0
[HEARTBEAT] Node: 0 | Tick:  7561 | Conf:  7559 | Hash: 0x8A077C62 | Rollbacks:  0 (Resim:   0) | Stalls:  0
[HEARTBEAT] Node: 0 | Tick:  7621 | Conf:  7619 | Hash: 0x64F17C8D | Rollbacks: 11 (Resim:  11) | Stalls:  0
[BOT:50006] Heartbeat - Sparse Mods Tracked: 2048
[HEARTBEAT] Node: 0 | Tick:  7681 | Conf:  7679 | Hash: 0xEC568DB3 | Rollbacks:  0 (Resim:   0) | Stalls:  0
[HEARTBEAT] Node: 0 | Tick:  7741 | Conf:  7739 | Hash: 0x80729464 | Rollbacks: 25 (Resim:  25) | Stalls:  0
[HEARTBEAT] Node: 0 | Tick:  7801 | Conf:  7799 | Hash: 0x0A5A81D6 | Rollbacks:  1 (Resim:   1) | Stalls:  0
[HEARTBEAT] Node: 0 | Tick:  7861 | Conf:  7859 | Hash: 0xDE731FBD | Rollbacks:  0 (Resim:   0) | Stalls:  0
[HEARTBEAT] Node: 0 | Tick:  7921 | Conf:  7919 | Hash: 0xEB37F0E6 | Rollbacks:  0 (Resim:   0) | Stalls:  0
[HEARTBEAT] Node: 0 | Tick:  7981 | Conf:  7979 | Hash: 0xF653A72F | Rollbacks: 10 (Resim:  10) | Stalls:  0
[HEARTBEAT] Node: 0 | Tick:  8041 | Conf:  8039 | Hash: 0x5CC70530 | Rollbacks:  6 (Resim:   6) | Stalls:  0
[HEARTBEAT] Node: 0 | Tick:  8101 | Conf:  8099 | Hash: 0x65278930 | Rollbacks: 21 (Resim:  21) | Stalls:  0
[HEARTBEAT] Node: 0 | Tick:  8161 | Conf:  8159 | Hash: 0xF0180D1B | Rollbacks:  3 (Resim:   3) | Stalls:  0
[HEARTBEAT] Node: 0 | Tick:  8221 | Conf:  8219 | Hash: 0x7908106F | Rollbacks:  4 (Resim:   4) | Stalls:  0
[BOT:50006] Heartbeat - Sparse Mods Tracked: 2048
[HEARTBEAT] Node: 0 | Tick:  8281 | Conf:  8279 | Hash: 0x5B93E036 | Rollbacks: 17 (Resim:  17) | Stalls:  0
[HEARTBEAT] Node: 0 | Tick:  8341 | Conf:  8339 | Hash: 0xF841383C | Rollbacks:  0 (Resim:   0) | Stalls:  0
[HEARTBEAT] Node: 0 | Tick:  8401 | Conf:  8399 | Hash: 0x5F1AB6DE | Rollbacks: 25 (Resim:  25) | Stalls:  0
[HEARTBEAT] Node: 0 | Tick:  8461 | Conf:  8459 | Hash: 0x037B7FC6 | Rollbacks:  8 (Resim:   8) | Stalls:  0
[HEARTBEAT] Node: 0 | Tick:  8521 | Conf:  8519 | Hash: 0x9BE13CAE | Rollbacks:  1 (Resim:   1) | Stalls:  0
[HEARTBEAT] Node: 0 | Tick:  8581 | Conf:  8579 | Hash: 0x316379B2 | Rollbacks: 28 (Resim:  28) | Stalls:  0
[HEARTBEAT] Node: 0 | Tick:  8641 | Conf:  8639 | Hash: 0x79FF2761 | Rollbacks:  0 (Resim:   0) | Stalls:  0
[HEARTBEAT] Node: 0 | Tick:  8701 | Conf:  8699 | Hash: 0x95F4DB43 | Rollbacks:  0 (Resim:   0) | Stalls:  0
[HEARTBEAT] Node: 0 | Tick:  8761 | Conf:  8759 | Hash: 0x53612CFF | Rollbacks:  8 (Resim:   8) | Stalls:  0
[BOT:50006] Heartbeat - Sparse Mods Tracked: 2048
[HEARTBEAT] Node: 0 | Tick:  8821 | Conf:  8819 | Hash: 0xD6D3144C | Rollbacks: 18 (Resim:  18) | Stalls:  0
[HEARTBEAT] Node: 0 | Tick:  8881 | Conf:  8879 | Hash: 0x73D8080A | Rollbacks:  8 (Resim:   8) | Stalls:  0
[HEARTBEAT] Node: 0 | Tick:  8941 | Conf:  8939 | Hash: 0x7004D072 | Rollbacks:  4 (Resim:   4) | Stalls:  0
[HEARTBEAT] Node: 0 | Tick:  9001 | Conf:  8999 | Hash: 0x856DA091 | Rollbacks: 19 (Resim:  19) | Stalls:  0
[HEARTBEAT] Node: 0 | Tick:  9061 | Conf:  9059 | Hash: 0xE97BA379 | Rollbacks:  4 (Resim:   4) | Stalls:  0
[HEARTBEAT] Node: 0 | Tick:  9121 | Conf:  9119 | Hash: 0xDF476D9C | Rollbacks: 13 (Resim:  13) | Stalls:  0
[HEARTBEAT] Node: 0 | Tick:  9181 | Conf:  9179 | Hash: 0x50BD21D6 | Rollbacks:  2 (Resim:   2) | Stalls:  0
[HEARTBEAT] Node: 0 | Tick:  9241 | Conf:  9239 | Hash: 0x051FC6AE | Rollbacks:  0 (Resim:   0) | Stalls:  0
[HEARTBEAT] Node: 0 | Tick:  9301 | Conf:  9299 | Hash: 0xB1DBA5C3 | Rollbacks: 14 (Resim:  14) | Stalls:  0
